age;job;marital;education;default;housing;loan;contact;month;day_of_week;duration;campaign;pdays;previous;poutcome;emp.var.rate;cons.price.idx;cons.conf.idx;euribor3m;nr.employed;y
61;2;1;2;0;1;1;1;5;5;403;1;3;2;2;01.082021;93.876;40.0;0.695;5008.7;1
67;4;3;6;0;1;0;1;11;1;655;2;5;5;2;01.012021;94.767;50.8;1.039;4963.6;1
73;6;1;7;0;1;0;1;3;5;179;1;22;0;0;01.082021;92.843;50.0;1.531;5099.1;1
44;7;2;6;0;1;0;1;5;1;775;5;22;1;1;01.082021;92.893;46.2;1.354;5099.1;1
30;2;1;3;0;0;0;1;7;3;988;1;22;0;0;1.042021;93.918;42.7;4.963;5228.1;1
18;9;2;0;0;0;0;1;9;2;385;1;3;1;2;03.042021;92.379;29.082021;0.809;5017.5;1
29;10;1;6;0;0;0;2;5;5;886;3;22;0;0;1.012021;93.994;36.4;4.864;5191.0;1
31;10;2;7;0;0;0;2;10;2;154;1;22;0;0;0.1;93.798;40.4;4.794;5195.8;1
44;3;1;1;0;1;0;1;5;4;955;2;22;0;0;01.082021;92.893;46.2;1.344;5099.1;1
51;2;1;4;0;1;0;1;5;3;809;1;22;1;1;01.082021;92.893;46.2;1.281;5099.1;1
38;5;1;7;0;1;0;1;5;5;1276;1;22;0;0;01.082021;92.893;46.2;1.313;5099.1;1
59;0;1;0;2;0;0;2;6;2;701;1;22;0;0;1.042021;94.465;41.8;4.866;5228.1;1
60;6;1;0;0;1;0;1;8;1;600;2;22;0;0;1.042021;93.444;36.1;4.965;5228.1;1
33;1;1;7;0;1;0;1;6;4;690;1;22;0;0;02.092021;92.963;40.8;1.262;5076.2;1
23;9;2;4;0;1;0;1;10;1;226;2;22;1;1;01.012021;94.601;49.5;1.032;4963.6;1
38;11;1;1;2;0;0;1;7;4;1058;1;22;0;0;1.042021;93.918;42.7;4.961;5228.1;1
33;10;1;6;0;0;0;1;4;2;285;1;22;0;0;01.082021;93.075;47.1;1.011941;5099.1;1
37;5;1;7;0;1;0;1;7;5;292;1;6;1;2;01.072021;94.215;40.3;0.896;4991.6;1
31;10;1;3;0;0;1;1;7;2;1319;5;22;0;0;1.042021;93.918;42.7;4.958;5228.1;1
36;10;2;6;0;0;0;1;6;5;146;2;22;0;0;02.092021;92.963;40.8;1.268;5076.2;1
77;5;1;0;0;1;0;1;8;5;160;1;3;6;2;01.072021;94.027;38.3;0.905;4991.6;1
35;9;2;7;2;0;0;2;6;2;618;1;22;0;0;1.042021;94.465;41.8;4.961;5228.1;1
40;10;2;7;0;0;0;1;11;1;130;1;7;2;1;03.042021;92.649;30.012021;0.714;5017.5;1
35;8;1;6;0;1;0;1;4;2;218;2;6;1;2;01.082021;93.749;34.6;0.644;5008.7;1
54;1;1;7;0;1;1;1;8;5;204;1;22;1;1;02.092021;92.201;31.4;0.849;5076.2;1
27;8;2;4;2;0;0;1;7;4;509;4;22;0;0;1.042021;93.918;42.7;4.962;5228.1;1
42;1;1;4;0;0;0;1;11;1;651;2;22;1;1;0.1;93.2;42.0;4.191;5195.8;1
49;2;1;3;2;0;0;2;6;2;1149;2;22;0;0;1.042021;94.465;41.8;4.866;5228.1;1
31;9;2;7;0;0;0;1;7;5;608;3;6;2;2;01.072021;94.215;40.3;0.885;4991.6;1
25;9;2;4;0;0;0;1;11;2;244;1;22;0;0;01.012021;94.767;50.8;1.041;4963.6;1
34;10;1;7;0;1;0;1;11;3;686;1;22;0;0;0.1;93.2;42.0;4.122021;5195.8;1
34;10;2;7;0;1;1;1;8;3;455;3;22;0;0;1.042021;93.444;36.1;4.967;5228.1;1
58;11;1;7;0;1;0;1;11;2;344;2;22;0;0;01.012021;94.767;50.8;1.041;4963.6;1
30;10;2;4;0;0;0;1;8;1;638;4;22;0;0;1.042021;93.444;36.1;4.963;5228.1;1
57;6;1;1;0;1;1;2;4;4;1348;4;22;0;0;01.082021;93.075;47.1;1.405;5099.1;1
41;3;1;7;0;1;0;1;8;2;324;1;22;0;0;01.072021;94.027;38.3;0.904;4991.6;1
86;6;1;0;2;1;1;1;9;4;211;1;7;4;2;01.012021;94.199;37.5;0.877;4963.6;1
41;10;1;6;0;1;0;1;11;1;545;2;22;0;0;01.012021;94.767;50.8;1.039;4963.6;1
42;8;1;7;0;0;0;1;12;3;179;1;6;1;2;3.0;92.713;33.0;0.715;5023.5;1
31;2;2;3;0;0;0;2;6;3;767;2;22;0;0;1.042021;94.465;41.8;4.864;5228.1;1
31;1;1;4;0;0;0;1;10;2;142;1;22;0;0;03.042021;92.431;26.092021;0.722;5017.5;1
33;1;1;7;0;1;0;1;11;5;482;1;12;1;2;01.012021;94.767;50.8;1.049;4963.6;1
45;4;2;1;0;0;0;2;9;1;569;4;22;0;0;03.042021;92.379;29.082021;0.797;5017.5;1
41;10;1;4;0;0;0;1;8;1;697;2;22;0;0;1.042021;93.444;36.1;4.963;5228.1;1
75;6;1;7;0;1;0;1;7;2;229;1;22;2;1;01.072021;94.215;40.3;0.81;4991.6;1
47;1;2;7;0;1;0;1;6;1;243;4;22;0;0;02.092021;92.963;40.8;1.281;5076.2;1
27;10;2;7;0;1;0;1;10;3;184;1;22;1;1;01.012021;94.601;49.5;1.043;4963.6;1
30;8;2;4;0;1;0;1;6;1;181;2;22;0;0;02.092021;92.963;40.8;1.012026;5076.2;1
41;1;1;7;0;0;0;1;7;1;1360;3;22;0;0;1.042021;93.918;42.7;1.041996;5228.1;1
39;2;2;3;0;0;0;2;5;4;650;3;22;0;0;1.012021;93.994;36.4;4.856;5191.0;1
48;1;3;7;0;0;0;1;8;2;544;1;22;0;0;01.072021;94.027;38.3;0.904;4991.6;1
21;9;2;4;0;1;1;1;6;3;286;2;22;0;0;01.072021;94.055;39.8;0.767;4991.6;1
64;0;1;0;0;1;0;2;8;5;239;4;22;0;0;01.072021;94.027;38.3;0.905;4991.6;1
56;5;1;3;0;1;0;2;6;4;941;3;22;0;0;1.042021;94.465;41.8;4.864;5228.1;1
38;1;1;7;0;1;0;1;11;4;64;1;3;3;2;03.042021;92.649;30.012021;0.715;5017.5;1
24;1;2;4;0;1;1;1;3;3;224;1;22;0;0;01.082021;92.843;50.0;1.602;5099.1;1
30;10;2;7;0;1;0;1;9;5;173;2;15;4;1;01.012021;94.199;37.5;0.879;4963.6;1
51;2;1;3;0;0;1;2;5;5;653;1;22;0;0;1.012021;93.994;36.4;4.855;5191.0;1
54;5;1;7;0;0;0;1;5;1;397;1;22;1;1;01.082021;92.893;46.2;1.264;5099.1;1
26;9;2;3;0;1;0;1;3;1;1447;2;22;0;0;01.082021;92.843;50.0;1.811;5099.1;1
33;2;1;2;2;1;1;2;5;5;1132;2;22;0;0;1.012021;93.994;36.4;4.855;5191.0;1
51;11;1;2;0;0;0;1;6;2;280;2;22;1;1;02.092021;92.963;40.8;1.012026;5076.2;1
33;10;2;6;0;1;0;1;8;4;396;2;22;0;0;1.042021;93.444;36.1;4.966;5228.1;1
25;2;2;4;0;0;0;1;5;5;1068;3;22;0;0;01.082021;92.893;46.2;1.012025;5099.1;1
38;5;1;3;2;0;0;2;5;5;772;1;22;0;0;1.012021;93.994;36.4;4.855;5191.0;1
54;1;2;7;0;0;0;1;5;1;337;1;22;0;0;01.082021;92.893;46.2;1.264;5099.1;1
36;1;2;3;0;1;0;1;5;4;458;1;22;0;0;01.082021;92.893;46.2;1.291;5099.1;1
50;1;1;7;0;0;0;1;8;4;587;2;22;1;1;02.092021;92.201;31.4;0.859;5076.2;1
48;1;1;7;0;1;1;1;8;3;288;1;0;3;2;01.072021;94.027;38.3;0.9;4991.6;1
33;1;1;7;0;1;0;1;9;2;272;2;22;0;0;01.012021;94.199;37.5;0.878;4963.6;1
41;8;1;4;2;1;0;2;5;1;679;2;22;0;0;1.012021;93.994;36.4;4.857;5191.0;1
39;7;3;4;0;0;0;1;9;4;261;1;3;1;2;03.042021;92.379;29.082021;0.788;5017.5;1
52;5;1;4;0;1;1;1;8;4;167;1;10;4;1;02.092021;92.201;31.4;0.883;5076.2;1
49;2;3;2;2;0;0;1;7;1;1065;3;22;0;0;1.042021;93.918;42.7;4.962;5228.1;1
50;10;1;4;0;1;0;1;12;1;229;1;22;1;1;3.0;92.713;33.0;0.717;5023.5;1
58;0;1;3;0;1;0;1;12;2;154;1;22;1;1;3.0;92.713;33.0;0.72;5023.5;1
35;1;1;7;0;0;0;1;6;2;121;4;22;0;0;02.092021;92.963;40.8;1.012026;5076.2;1
29;1;2;7;0;0;0;1;8;1;716;2;22;0;0;1.042021;93.444;36.1;4.965;5228.1;1
29;2;3;4;0;0;0;1;5;5;760;1;22;0;0;01.082021;92.893;46.2;1.012025;5099.1;1
36;2;2;3;0;1;1;2;6;2;762;3;22;0;0;1.042021;94.465;41.8;4.955;5228.1;1
59;11;1;1;2;1;0;1;7;2;458;9;22;0;0;1.042021;93.918;42.7;4.962;5228.1;1
53;10;1;7;0;2;2;1;4;2;758;2;22;2;1;01.082021;93.749;34.6;0.64;5008.7;1
59;1;3;4;2;0;1;1;7;1;630;3;22;0;0;1.042021;93.918;42.7;4.962;5228.1;1
28;5;2;7;0;0;0;2;6;2;651;5;22;0;0;1.042021;94.465;41.8;4.958;5228.1;1
30;1;2;7;0;0;0;1;11;5;331;2;22;0;0;0.1;93.2;42.0;4.021;5195.8;1
37;1;2;4;0;0;0;1;7;2;609;2;7;3;2;01.072021;94.215;40.3;0.782;4991.6;1
55;6;3;1;2;0;0;1;5;3;526;4;22;1;1;01.082021;92.893;46.2;1.281;5099.1;1
36;5;1;7;0;2;2;1;9;3;331;1;6;4;1;01.012021;94.199;37.5;0.876;4963.6;1
71;6;1;4;0;0;0;1;9;1;363;1;22;0;0;01.012021;94.199;37.5;0.879;4963.6;1
58;1;2;7;0;0;0;2;5;1;1234;3;22;0;0;1.012021;93.994;36.4;4.857;5191.0;1
32;11;1;6;0;1;0;2;11;4;486;1;22;0;0;0.1;93.2;42.0;4.343;5195.8;1
27;1;2;7;0;0;0;1;3;4;238;4;22;0;0;01.082021;93.369;34.8;0.635;5008.7;1
39;10;1;4;0;0;0;1;11;5;749;2;22;0;0;0.1;93.2;42.0;4.021;5195.8;1
31;1;2;7;0;1;0;1;7;3;1327;2;22;0;0;1.042021;93.918;42.7;4.963;5228.1;1
47;1;3;7;0;1;0;2;6;5;2653;3;22;0;0;1.042021;94.465;41.8;4.967;5228.1;1
32;1;2;4;0;0;0;1;4;2;1143;1;22;0;0;01.082021;93.075;47.1;1.365;5099.1;1
36;1;1;7;0;1;0;1;7;3;570;2;22;0;0;1.042021;93.918;42.7;4.962;5228.1;1
42;1;2;7;0;1;1;2;5;3;938;1;22;0;0;1.012021;93.994;36.4;4.858;5191.0;1
51;11;1;6;2;1;1;1;7;2;901;1;22;0;0;1.042021;93.918;42.7;4.963;5228.1;1
68;6;1;7;0;1;0;1;7;1;546;2;22;1;1;01.072021;94.215;40.3;0.889;4991.6;1
33;2;1;3;0;0;0;1;5;5;728;1;22;0;0;01.082021;92.893;46.2;1.313;5099.1;1
31;10;1;7;0;0;0;1;9;2;244;1;3;1;2;01.012021;94.199;37.5;0.878;4963.6;1
38;10;1;7;0;0;0;1;6;3;539;1;22;0;0;02.092021;92.963;40.8;1.012026;5076.2;1
64;4;1;0;0;1;0;2;5;3;671;3;22;0;0;01.082021;93.876;40.0;0.697;5008.7;1
51;2;1;1;2;0;1;2;6;4;781;1;22;0;0;1.042021;94.465;41.8;4.961;5228.1;1
45;2;1;1;0;1;0;1;7;2;367;2;22;0;0;1.042021;93.918;42.7;4.962;5228.1;1
54;11;1;3;0;0;0;1;5;3;193;1;3;1;2;01.082021;92.893;46.2;1.012027;5099.1;1
54;6;1;1;0;0;1;1;10;2;164;2;22;0;0;03.042021;92.431;26.092021;0.722;5017.5;1
78;6;1;1;0;0;0;1;7;1;1148;1;22;0;0;01.072021;94.215;40.3;0.87;4991.6;1
27;8;2;4;0;0;0;1;7;5;423;3;22;0;0;01.072021;94.215;40.3;0.79;4991.6;1
38;2;2;7;2;0;0;2;5;5;894;1;22;0;0;1.012021;93.994;36.4;4.859;5191.0;1
32;8;1;1;2;0;0;1;7;1;891;4;22;0;0;1.042021;93.918;42.7;1.041996;5228.1;1
35;1;1;4;2;0;0;1;5;5;585;1;22;0;0;01.082021;92.893;46.2;1.012025;5099.1;1
26;10;2;6;0;1;0;1;9;5;249;1;3;3;2;01.012021;94.199;37.5;0.879;4963.6;1
80;6;1;1;0;0;0;1;5;1;382;1;3;3;2;01.082021;93.876;40.0;0.697;5008.7;1
32;1;2;7;0;1;0;1;5;3;412;1;22;0;0;01.082021;92.893;46.2;1.012027;5099.1;1
33;2;1;2;0;0;0;2;5;3;1183;1;22;0;0;1.012021;93.994;36.4;4.857;5191.0;1
44;8;3;4;0;0;0;1;5;1;903;4;22;0;0;01.082021;92.893;46.2;1.244;5099.1;1
39;1;3;7;0;0;1;1;7;1;375;3;22;0;0;01.072021;94.215;40.3;0.827;4991.6;1
44;1;3;4;0;1;0;2;11;1;1628;2;6;1;2;03.042021;92.649;30.012021;0.719;5017.5;1
54;6;1;1;0;1;0;1;4;5;840;3;22;0;0;01.082021;93.075;47.1;1.405;5099.1;1
29;2;2;3;0;0;1;1;10;3;107;2;22;0;0;03.042021;92.431;26.092021;0.735;5017.5;1
31;9;2;0;0;1;0;1;8;1;868;3;18;3;1;01.072021;94.027;38.3;0.898;4991.6;1
29;1;1;7;0;0;1;1;6;4;347;3;5;1;2;01.072021;94.055;39.8;0.702;4991.6;1
33;2;1;2;0;1;0;1;4;3;351;3;22;0;0;01.082021;93.075;47.1;1.498;5099.1;1
36;1;0;7;0;1;0;1;8;3;529;1;22;0;0;1.042021;93.444;36.1;4.965;5228.1;1
44;8;3;4;0;1;0;1;5;2;533;1;22;0;0;01.082021;92.893;46.2;1.266;5099.1;1
27;1;2;7;0;1;0;1;8;3;429;2;22;0;0;02.092021;92.201;31.4;0.879;5076.2;1
41;1;1;7;0;0;0;1;8;4;766;2;22;0;0;1.042021;93.444;36.1;4.968;5228.1;1
29;8;2;4;0;1;1;1;6;3;431;2;22;2;1;02.092021;92.963;40.8;1.012026;5076.2;1
37;10;2;7;0;1;0;1;8;4;481;2;22;4;1;01.072021;94.027;38.3;0.899;4991.6;1
55;1;1;4;0;0;1;1;4;3;307;1;22;1;1;01.082021;93.075;47.1;1.405;5099.1;1
50;2;1;1;0;0;0;1;7;1;1130;3;22;0;0;1.042021;93.918;42.7;4.962;5228.1;1
48;5;1;7;0;1;1;1;11;4;747;2;22;0;0;03.042021;92.649;30.012021;0.715;5017.5;1
33;2;2;4;0;0;0;1;5;1;2301;1;22;0;0;01.082021;92.893;46.2;1.244;5099.1;1
43;10;1;6;0;0;0;1;5;2;460;1;22;1;1;01.082021;93.876;40.0;0.699;5008.7;1
30;1;1;7;0;1;0;1;4;4;496;1;22;0;0;01.082021;93.075;47.1;1.423;5099.1;1
34;1;2;7;0;1;0;1;3;4;568;1;6;3;2;01.082021;93.369;34.8;0.652;5008.7;1
47;2;1;0;2;0;0;2;5;4;1334;1;22;0;0;1.012021;93.994;36.4;4.856;5191.0;1
42;10;1;6;0;0;0;1;8;2;295;1;6;2;2;01.072021;94.027;38.3;0.899;4991.6;1
41;3;1;7;0;1;0;2;5;3;1138;1;22;0;0;1.012021;93.994;36.4;4.856;5191.0;1
33;2;1;3;0;1;0;1;7;3;1019;11;22;0;0;1.042021;93.918;42.7;4.957;5228.1;1
51;1;1;7;0;1;0;1;8;2;212;1;22;0;0;02.092021;92.201;31.4;0.829;5076.2;1
36;5;3;7;0;1;0;1;6;1;422;1;3;4;2;01.072021;94.055;39.8;0.72;4991.6;1
86;6;1;0;2;1;0;1;9;4;340;1;22;0;0;01.012021;94.199;37.5;0.877;4963.6;1
37;10;2;7;0;1;0;1;6;5;300;1;22;2;1;01.072021;94.055;39.8;0.748;4991.6;1
30;7;1;7;0;0;0;1;6;1;212;4;22;0;0;01.072021;94.055;39.8;0.72;4991.6;1
31;7;2;7;0;0;0;1;12;3;854;1;22;0;0;3.0;92.713;33.0;0.715;5023.5;1
28;11;2;3;0;0;1;1;8;4;261;1;22;1;1;01.072021;94.027;38.3;0.899;4991.6;1
42;10;1;4;0;1;0;1;4;2;163;1;22;0;0;01.082021;93.075;47.1;1.406;5099.1;1
37;10;1;7;0;1;0;1;10;3;364;1;22;1;1;03.042021;92.431;26.092021;0.742;5017.5;1
32;10;2;7;2;0;0;2;5;3;857;1;22;0;0;1.012021;93.994;36.4;4.858;5191.0;1
36;7;2;7;0;0;1;1;6;1;458;1;4;4;2;01.072021;94.055;39.8;0.72;4991.6;1
32;11;2;6;0;1;1;1;6;3;310;1;22;0;0;01.072021;94.055;39.8;0.704;4991.6;1
76;6;1;6;2;1;0;1;6;4;352;1;3;1;2;01.072021;94.055;39.8;0.761;4991.6;1
56;10;3;7;0;0;0;1;11;5;178;2;3;1;2;03.042021;92.649;30.012021;0.716;5017.5;1
31;9;2;0;0;0;0;1;5;2;243;2;22;1;1;01.082021;93.876;40.0;0.677;5008.7;1
41;1;1;7;0;1;0;1;11;4;95;1;3;1;2;03.042021;92.649;30.012021;0.715;5017.5;1
35;1;1;7;0;1;0;1;4;2;330;1;10;1;2;01.082021;93.749;34.6;0.644;5008.7;1
40;11;2;1;0;0;0;1;6;4;355;1;22;0;0;02.092021;92.963;40.8;1.252;5076.2;1
29;1;2;7;0;0;0;1;7;3;873;2;22;0;0;1.042021;93.918;42.7;4.957;5228.1;1
39;1;1;2;2;0;0;1;7;3;1176;1;22;0;0;1.042021;93.918;42.7;4.963;5228.1;1
39;11;2;7;0;1;0;1;12;1;387;1;6;2;2;3.0;92.713;33.0;0.706;5023.5;1
30;1;2;7;0;1;0;1;6;3;617;2;22;0;0;02.092021;92.963;40.8;1.012026;5076.2;1
39;2;1;2;0;1;0;1;5;2;476;1;22;0;0;01.082021;92.893;46.2;1.327;5099.1;1
26;1;1;4;0;1;0;1;11;5;338;1;7;1;2;03.042021;92.649;30.012021;0.714;5017.5;1
32;1;1;4;0;1;0;1;5;1;689;1;22;0;0;01.082021;92.893;46.2;1.299;5099.1;1
31;2;1;6;0;1;0;1;7;3;458;2;22;0;0;1.042021;93.918;42.7;4.963;5228.1;1
46;10;3;7;0;1;0;1;11;5;796;5;22;1;1;0.1;93.2;42.0;4.021;5195.8;1
31;10;3;6;0;1;0;1;7;3;662;1;22;0;0;1.042021;93.918;42.7;4.962;5228.1;1
31;1;1;6;0;0;1;1;12;1;367;2;22;1;1;3.0;92.713;33.0;0.709;5023.5;1
52;6;1;1;0;0;0;2;6;3;633;1;22;0;0;1.042021;94.465;41.8;4.864;5228.1;1
36;2;2;2;0;0;0;1;11;4;238;1;22;0;0;01.012021;94.767;50.8;1.046;4963.6;1
57;1;3;4;0;0;0;1;9;4;473;1;3;5;2;01.012021;94.199;37.5;0.877;4963.6;1
32;8;2;0;0;0;1;1;7;2;415;2;22;0;0;01.072021;94.215;40.3;0.846;4991.6;1
58;6;1;1;2;0;0;2;5;4;1045;1;22;0;0;1.012021;93.994;36.4;4.856;5191.0;1
28;10;2;7;0;1;0;1;5;4;326;1;22;0;0;01.082021;92.893;46.2;1.266;5099.1;1
37;1;2;7;0;1;0;1;4;2;261;1;22;0;0;01.082021;93.075;47.1;1.365;5099.1;1
47;1;1;4;0;1;0;1;8;1;1152;3;22;0;0;1.042021;93.444;36.1;4.965;5228.1;1
51;1;1;7;0;1;0;1;7;5;139;5;22;0;0;02.092021;92.469;33.6;0.921;5076.2;1
48;5;1;3;0;1;0;1;5;4;725;1;22;0;0;01.082021;92.893;46.2;1.291;5099.1;1
30;1;2;7;0;1;0;1;7;2;873;8;22;0;0;1.042021;93.918;42.7;4.962;5228.1;1
50;1;1;7;0;1;0;1;11;1;183;1;3;1;2;03.042021;92.649;30.012021;0.714;5017.5;1
57;6;1;6;0;1;0;1;6;1;166;2;22;0;0;02.092021;92.963;40.8;1.266;5076.2;1
44;1;1;7;0;1;0;1;8;2;254;2;22;0;0;02.092021;92.201;31.4;0.883;5076.2;1
31;11;2;7;0;1;0;1;3;4;180;1;10;1;2;01.082021;93.369;34.8;0.646;5008.7;1
39;2;1;3;2;0;0;2;5;4;504;4;22;0;0;1.012021;93.994;36.4;4.856;5191.0;1
33;1;2;7;0;0;0;1;6;3;206;1;3;1;2;01.072021;94.055;39.8;0.715;4991.6;1
30;10;2;7;0;1;0;1;6;5;166;2;22;0;0;02.092021;92.963;40.8;1.268;5076.2;1
39;10;1;6;0;0;0;2;10;2;171;1;22;0;0;0.1;93.798;40.4;4.921;5195.8;1
36;1;2;4;0;1;0;1;8;5;159;1;3;2;2;02.092021;92.201;31.4;0.849;5076.2;1
21;9;2;4;0;0;0;1;10;4;362;1;22;0;0;01.012021;94.601;49.5;0.982;4963.6;1
31;1;1;4;0;0;0;2;6;2;952;4;22;0;0;1.042021;94.465;41.8;4.961;5228.1;1
43;10;1;7;2;2;2;1;5;4;426;1;22;1;1;01.082021;92.893;46.2;1.291;5099.1;1
55;1;3;4;0;1;0;1;8;4;244;2;6;3;2;01.072021;94.027;38.3;0.904;4991.6;1
38;4;3;7;0;0;0;1;11;3;403;2;22;0;0;01.012021;94.767;50.8;4.122021;4963.6;1
48;2;1;3;0;1;0;1;5;4;268;1;3;3;2;01.082021;93.876;40.0;0.668;5008.7;1
53;8;1;0;0;1;0;1;6;4;501;3;22;0;0;02.092021;92.963;40.8;1.262;5076.2;1
31;10;1;6;0;0;0;1;7;2;3643;1;22;0;0;1.042021;93.918;42.7;4.963;5228.1;1
27;1;2;4;2;0;0;1;7;1;1105;2;22;0;0;1.042021;93.918;42.7;1.041996;5228.1;1
34;5;1;4;0;1;0;1;7;4;838;3;22;0;0;1.042021;93.918;42.7;4.961;5228.1;1
31;2;3;4;0;1;0;1;5;3;829;1;22;1;1;01.082021;92.893;46.2;1.281;5099.1;1
27;8;2;7;0;1;0;1;3;1;104;1;6;1;2;01.082021;93.369;34.8;0.652;5008.7;1
28;5;1;7;0;0;0;2;6;3;771;2;22;0;0;1.042021;94.465;41.8;4.962;5228.1;1
47;4;1;7;0;1;0;1;8;1;232;2;22;0;0;02.092021;92.201;31.4;0.843;5076.2;1
33;5;2;7;0;1;1;1;4;3;1176;1;22;0;0;01.082021;93.075;47.1;1.498;5099.1;1
31;10;2;7;0;1;0;1;11;1;984;1;22;0;0;0.1;93.2;42.0;4.191;5195.8;1
38;2;1;3;0;0;0;2;6;5;693;3;22;0;0;1.042021;94.465;41.8;4.959;5228.1;1
30;9;2;4;0;0;0;1;8;4;592;3;22;1;1;01.072021;94.027;38.3;0.899;4991.6;1
32;8;1;4;0;1;0;2;5;3;628;2;22;0;0;01.082021;92.893;46.2;1.012027;5099.1;1
35;10;2;6;0;1;0;1;11;2;192;2;22;1;1;03.042021;92.649;30.012021;0.714;5017.5;1
41;1;2;0;0;1;1;2;5;1;1111;3;22;0;0;1.012021;93.994;36.4;4.857;5191.0;1
22;2;2;3;0;1;1;1;7;1;848;1;22;0;0;1.042021;93.918;42.7;1.041996;5228.1;1
52;10;1;6;0;1;1;1;9;1;211;1;22;1;1;03.042021;92.379;29.082021;0.797;5017.5;1
